Date,Sample.ID,Fragment.ID,Chamber.Channel,Position,Bin.ID,Run,Species,Genotype,Fragment.Number,Sample.Type,Temp.Cat,Chamber.Vol.L,Surf.Area.cm2,Start time,Stop Time,Light_Dark,Light_Level,Probe_Spot,Notes,QC
20171001,BK1-1_20171001,BK1-1_1,7,7,1,PI,BK,NA,7,Blank,27,0.61,NA,19:07,19:34,Light,0,Probe,,
20171001,BK1-1_20171001,BK1-1_2,7,7,1,PI,BK,NA,7,Blank,27,0.61,NA,19:35,19:54,Light,31,Probe,,
20171001,BK1-1_20171001,BK1-1_3,7,7,1,PI,BK,NA,7,Blank,27,0.61,NA,19:55,20:14,Light,63,Probe,,
20171001,BK1-1_20171001,BK1-1_4,7,7,1,PI,BK,NA,7,Blank,27,0.61,NA,20:15,20:34,Light,104,Probe,,
20171001,BK1-1_20171001,BK1-1_5,7,7,1,PI,BK,NA,7,Blank,27,0.61,NA,20:35,20:57,Light,164,Probe,,
20171001,BK1-1_20171001,BK1-1_6,7,7,1,PI,BK,NA,7,Blank,27,0.61,NA,20:58,21:14,Light,288,Probe,,
20171001,BK1-1_20171001,BK1-1_7,7,7,1,PI,BK,NA,7,Blank,27,0.61,NA,21:15,21:34,Light,453,Probe,,
20171001,BK1-1_20171001,BK1-1_8,7,7,1,PI,BK,NA,7,Blank,27,0.61,NA,21:35,21:54,Light,610,Probe,,
20171001,BK1-1_20171001,BK1-1_9,7,7,1,PI,BK,NA,7,Blank,27,0.61,NA,21:55,22:15,Light,747,Probe,,
20171001,BK2-1_20171001,BK2-1_1,8,8,1,PI,BK,NA,8,Blank,27,0.61,NA,19:07,19:34,Light,0,Probe,,
20171001,BK2-1_20171001,BK2-1_2,8,8,1,PI,BK,NA,8,Blank,27,0.61,NA,19:35,19:54,Light,31,Probe,,
20171001,BK2-1_20171001,BK2-1_3,8,8,1,PI,BK,NA,8,Blank,27,0.61,NA,19:55,20:14,Light,63,Probe,,
20171001,BK2-1_20171001,BK2-1_4,8,8,1,PI,BK,NA,8,Blank,27,0.61,NA,20:15,20:34,Light,104,Probe,,
20171001,BK2-1_20171001,BK2-1_5,8,8,1,PI,BK,NA,8,Blank,27,0.61,NA,20:35,20:57,Light,164,Probe,,
20171001,BK2-1_20171001,BK2-1_6,8,8,1,PI,BK,NA,8,Blank,27,0.61,NA,20:58,21:14,Light,288,Probe,,
20171001,BK2-1_20171001,BK2-1_7,8,8,1,PI,BK,NA,8,Blank,27,0.61,NA,21:15,21:34,Light,453,Probe,,
20171001,BK2-1_20171001,BK2-1_8,8,8,1,PI,BK,NA,8,Blank,27,0.61,NA,21:35,21:54,Light,610,Probe,,
20171001,BK2-1_20171001,BK2-1_9,8,8,1,PI,BK,NA,8,Blank,27,0.61,NA,21:55,22:15,Light,747,Probe,,
20171001,OF1-1_20171001,OF1-1_1,5,5,1,PI,OF,NA,5,Sample,27,0.6,8.16,19:07,19:34,Light,0,Probe,,
20171001,OF1-1_20171001,OF1-1_2,5,5,1,PI,OF,NA,5,Sample,27,0.6,8.16,19:35,19:54,Light,31,Probe,,
20171001,OF1-1_20171001,OF1-1_3,5,5,1,PI,OF,NA,5,Sample,27,0.6,8.16,19:55,20:14,Light,63,Probe,,
20171001,OF1-1_20171001,OF1-1_4,5,5,1,PI,OF,NA,5,Sample,27,0.6,8.16,20:15,20:34,Light,104,Probe,,
20171001,OF1-1_20171001,OF1-1_5,5,5,1,PI,OF,NA,5,Sample,27,0.6,8.16,20:35,20:57,Light,164,Probe,,
20171001,OF1-1_20171001,OF1-1_6,5,5,1,PI,OF,NA,5,Sample,27,0.6,8.16,20:58,21:14,Light,288,Probe,,
20171001,OF1-1_20171001,OF1-1_7,5,5,1,PI,OF,NA,5,Sample,27,0.6,8.16,21:15,21:34,Light,453,Probe,,
20171001,OF1-1_20171001,OF1-1_8,5,5,1,PI,OF,NA,5,Sample,27,0.6,8.16,21:35,21:54,Light,610,Probe,,
20171001,OF1-1_20171001,OF1-1_9,5,5,1,PI,OF,NA,5,Sample,27,0.6,8.16,21:55,22:15,Light,747,Probe,,
20171001,OF2-1_20171001,OF2-1_1,6,6,1,PI,OF,NA,6,Sample,27,0.595,7.833,19:07,19:34,Light,0,Probe,,
20171001,OF2-1_20171001,OF2-1_2,6,6,1,PI,OF,NA,6,Sample,27,0.595,7.833,19:35,19:54,Light,31,Probe,,
20171001,OF2-1_20171001,OF2-1_3,6,6,1,PI,OF,NA,6,Sample,27,0.595,7.833,19:55,20:14,Light,63,Probe,,
20171001,OF2-1_20171001,OF2-1_4,6,6,1,PI,OF,NA,6,Sample,27,0.595,7.833,20:15,20:34,Light,104,Probe,,
20171001,OF2-1_20171001,OF2-1_5,6,6,1,PI,OF,NA,6,Sample,27,0.595,7.833,20:35,20:57,Light,164,Probe,,
20171001,OF2-1_20171001,OF2-1_6,6,6,1,PI,OF,NA,6,Sample,27,0.595,7.833,20:58,21:14,Light,288,Probe,,
20171001,OF2-1_20171001,OF2-1_7,6,6,1,PI,OF,NA,6,Sample,27,0.595,7.833,21:15,21:34,Light,453,Probe,,
20171001,OF2-1_20171001,OF2-1_8,6,6,1,PI,OF,NA,6,Sample,27,0.595,7.833,21:35,21:54,Light,610,Probe,,
20171001,OF2-1_20171001,OF2-1_9,6,6,1,PI,OF,NA,6,Sample,27,0.595,7.833,21:55,22:15,Light,747,Probe,,
